2,0,99907,99880
1,0,99884,5183504102
1,1,99884,5183504102
2,1,99907,99880
1,2,5183504102,5183504102
2,2,99907,99880
1,3,5183504102,5183504102
2,3,99907,99880
1,4,5214080611,5214080611
2,4,99907,99880
2,5,99907,99880
1,5,5214080611,5214080611
1,6,5214080611,5214080611
2,6,99907,99880
1,7,5214080611,5214080611
2,7,99907,99880
2,8,99907,99880
1,8,5214080611,5214080611
1,9,5214080611,5214080611
2,9,99907,99880
1,10,5214080611,5214080611
2,10,99907,99880
1,11,5214080611,5214080611
2,11,99907,99880
1,12,5214080611,5214080611
2,12,99907,99880
1,13,5214080611,5214080611
2,13,99907,99880
1,14,5214080611,5214080611
2,14,99907,99880
1,15,5214080611,5214080611
2,15,99907,99880
1,16,99909,99909
2,16,99907,99880
1,17,99909,99909
2,17,99907,99880
1,18,99909,99909
2,18,99907,99880
1,19,99909,99909
2,19,99907,99880
1,20,99909,99909
2,20,99907,99880
2,21,99907,99880
1,21,99909,99909
1,22,99909,99909
2,22,99907,99880
1,23,99909,99909
2,23,99907,99880
1,24,99909,99909
2,24,99907,99880
1,25,99909,99909
2,25,99907,99880
1,26,99909,99909
2,26,99907,99880
1,27,99909,99909
2,27,99907,99880
1,28,99909,99909
2,28,99907,99880
1,29,99909,99909
2,29,99880,99880
2,30,99880,99880
1,30,99909,99909
1,31,99909,99909
2,31,99880,99880
1,32,99909,99909
2,32,99880,99880
1,33,99909,99909
2,33,99880,99880
1,34,99909,99909
2,34,99880,99880
1,35,99909,99909
2,35,99880,99880
1,36,99909,99909
2,36,99880,99880
2,37,99880,99880
1,37,99909,99909
1,38,99909,99909
2,38,99880,99880
1,39,99909,99909
2,39,99880,99880
1,40,99910,99910
2,40,99880,99880
1,41,99910,99910
2,41,99880,99880
1,42,99910,99910
2,42,99880,99880
1,43,99910,99910
2,43,99880,99880
1,44,99929,99929
2,44,99880,99880
2,45,99880,99880
1,45,99929,99929
1,46,99929,99929
2,46,99880,99880
1,47,99929,99929
2,47,99880,99880
1,48,99929,99929
2,48,99880,99880
1,49,99929,99929
2,49,99880,99880
1,50,99929,99929
2,50,99880,99880
1,51,99929,99929
2,51,99880,99880
1,52,99929,99929
2,52,99880,99880
1,53,99929,99929
2,53,99880,99880
1,54,99929,99929
2,54,99880,99880
1,55,99929,99929
2,55,99880,99880
1,56,99929,99929
2,56,99880,99880
1,57,99929,99929
2,57,99880,99880
1,58,99929,99929
2,58,5183504102,5183504102
1,59,99929,99929
2,59,5183504102,5183504102
1,60,99929,99929
2,60,5183504102,5183504102
1,61,99929,99929
2,61,5183504102,5183504102
2,62,5183504102,5183504102
1,62,99929,99929
1,63,99929,99929
2,63,5183504102,5183504102
1,64,99929,99929
2,64,5183504102,5183504102
2,65,5183504102,5183504102
1,65,99929,99929
1,66,99929,99929
2,66,5183504102,5183504102
1,67,99929,99929
2,67,5183504102,5183504102
1,68,99929,99929
2,68,5183504102,5183504102
1,69,99929,99929
2,69,4544836433,4544836433
1,70,99929,99929
2,70,4544836433,4544836433
1,71,99929,99929
2,71,4544836433,4544836433
1,72,99929,99929
2,72,4544836433,4544836433
1,73,99929,99929
2,73,4544836433,4544836433
1,74,99929,99929
2,74,2146383887,2146383887
1,75,99929,99929
2,75,2146383887,2146383887
1,76,99929,99929
2,76,2146383887,2146383887
1,77,99929,99929
2,77,2146383887,2146383887
1,78,99929,99929
2,78,2146383887,2146383887
1,79,99929,99929
2,79,2146383887,2146383887
1,80,99929,99929
2,80,99936,99936
1,81,99929,99929
2,81,99943,99943
2,82,99943,99943
1,82,99929,99929
1,83,99929,99929
2,83,99943,99943
2,84,99943,99943
1,84,101881,101881
1,85,101881,101881
2,85,99943,99943
1,86,101881,101881
2,86,99943,99943
1,87,101881,101881
2,87,99943,99943
2,88,99943,99943
1,88,101881,101881
1,89,101881,101881
2,89,99943,99943
1,90,101881,101881
2,90,99943,99943
2,91,99943,99943
